Subtração,Nível,Velocidade
0:00:00,0,0
0:00:00,0,0
0:00:00,0,0
0:00:00,0,0
0:00:00,0,0
0:00:00,0,0
0:00:00,0,0
0:00:00,0,0
0:00:00,0,0
0:00:00,0,0
0:00:01,0,0
0:00:01,0,0
0:00:01,0,0
0:00:01,0,0
0:00:01,0,0
0:00:01,0,0
0:00:01,0,0
0:00:01,0,0
0:00:01,0,0
0:00:01,0,0
0:00:01,0,0
0:00:01,0,0
0:00:01,0,0
0:00:01,0,0
0:00:01,0,0
0:00:01,0,0
0:00:01,0,0
0:00:01,0,0
0:00:02,0,0
0:00:02,0,0
0:00:02,0,0
0:00:02,0,0
0:00:02,0,0
0:00:02,0,0
0:00:02,0,0
0:00:02,0,0
0:00:02,0,0
0:00:02,0,0
0:00:02,0,0
0:00:02,0,0
0:00:02,0,0
0:00:02,0,0
0:00:02,0,0
0:00:02,0,0
0:00:02,0,0
0:00:02,0,0
0:00:03,0,0
0:00:03,0,0
0:00:03,0,0
0:00:03,0,0
0:00:03,0,0
0:00:03,0,0
0:00:03,0,0
0:00:03,0,0
0:00:03,0,0
0:00:03,0,0
0:00:03,0,0
0:00:03,0,0
0:00:03,0,0
0:00:03,0,0
0:00:03,0,0
0:00:03,0,0
0:00:03,0,0
0:00:03,0,0
0:00:04,0,0
0:00:04,0,0
0:00:04,0,0
0:00:04,0,0
0:00:04,0,0
0:00:04,0,0
0:00:04,0,0
0:00:04,0,0
0:00:04,0,0
0:00:04,0,0
0:00:04,0,0
0:00:04,0,0
0:00:04,0,0
0:00:05,0,0
0:00:05,0,0
0:00:05,0,0
0:00:05,0,0
0:00:05,0,0
0:00:05,0,0
0:00:05,0,0
0:00:05,0,0
0:00:05,0,0
0:00:05,0,0
0:00:05,0,0
0:00:05,0,0
0:00:05,0,0
0:00:05,0,0
0:00:05,0,0
0:00:05,0,0
0:00:05,0,0
0:00:05,0,0
0:00:06,0,0
0:00:06,0,0
0:00:06,0,0
0:00:06,0,0
0:00:06,0,0
0:00:06,0,0
0:00:06,0,0
0:00:06,0,0
0:00:06,0,0
0:00:06,0,0
0:00:06,0,0
0:00:06,0,0
0:00:06,0,0
0:00:06,0,0
0:00:06,0,0
0:00:06,0,0
0:00:06,0,0
0:00:06,0,0
0:00:07,0,0
0:00:07,0,0
0:00:07,0,0
0:00:07,0,0
0:00:07,0,0
0:00:07,0,0
0:00:07,0,0
0:00:07,0,0
0:00:07,0,0
0:00:07,0,0
0:00:07,0,0
0:00:07,0,0
0:00:08,0,0
0:00:08,0,0
0:00:08,0,0
0:00:08,0,0
0:00:08,0,0
0:00:08,0,0
0:00:08,0,0
0:00:08,0,0
0:00:08,0,0
0:00:08,0,0
0:00:08,0,0
0:00:08,0,0
0:00:08,0,0
0:00:08,0,0
0:00:08,0,0
0:00:08,0,0
0:00:08,0,0
0:00:08,0,0
0:00:09,0,0
0:00:09,0,0
0:00:09,0,0
0:00:09,0,0
0:00:09,0,0
0:00:09,0,0
0:00:09,0,0
0:00:09,0,0
0:00:09,0,0
0:00:09,0,0
0:00:09,0,0
0:00:09,0,0
0:00:09,0,0
0:00:09,0,0
0:00:09,0,0
0:00:09,0,0
0:00:09,0,0
0:00:09,0,0
0:00:10,0,0
0:00:10,0,0
0:00:10,0,0
0:00:10,0,0
0:00:10,0,0
0:00:10,0,0
0:00:10,0,0
0:00:10,0,0
0:00:10,0,0
0:00:10,0,0
0:00:10,0,0
0:00:10,0,0
0:00:10,0,0
0:00:10,0,0
0:00:10,0,0
0:00:10,0,0
0:00:10,0,0
0:00:10,0,0
0:00:11,0,0
0:00:11,0,0
0:00:11,0,0
0:00:11,0,0
0:00:11,0,0
0:00:11,0,0
0:00:11,0,0
0:00:11,0,0
0:00:11,0,0
0:00:11,0,0
0:00:11,0,0
0:00:11,0,0
0:00:11,0,0
0:00:11,0,0
0:00:11,0,0
0:00:11,0,0
0:00:11,0,0
0:00:11,0,0
0:00:12,0,0
0:00:12,0,0
0:00:12,0,0
0:00:12,0,0
0:00:12,0,0
0:00:12,0,0
0:00:12,0,0
0:00:12,0,0
0:00:12,0,0
0:00:12,0,0
0:00:12,0,0
0:00:12,0,0
0:00:12,0,0
0:00:12,0,0
0:00:12,0,0
0:00:12,0,0
0:00:12,0,0
0:00:12,0,0
0:00:13,0,0
0:00:13,0,0
0:00:13,0,0
0:00:13,0,0
0:00:13,0,0
0:00:13,0,0
0:00:13,0,0
0:00:13,0,0
0:00:13,0,0
0:00:13,0,0
0:00:13,0,0
0:00:13,0,0
0:00:13,0,0
0:00:13,0,55
0:00:13,0,55
0:00:14,0,55
0:00:14,0,55
0:00:14,0,55
0:00:14,0,55
0:00:14,0,55
0:00:14,0,55
0:00:14,0,55
0:00:14,0,55
0:00:14,0,55
0:00:14,0,55
0:00:14,0,55
0:00:14,0,55
0:00:14,0,55
0:00:14,0,55
0:00:14,0,55
0:00:14,0,55
0:00:14,0.04873294383,55
0:00:14,0.04873294383,55
0:00:15,0.04873294383,55
0:00:15,0.04873294383,55
0:00:15,0,55
0:00:15,0,55
0:00:15,0,55
0:00:15,0,55
0:00:15,0,55
0:00:15,0,55
0:00:15,0,55
0:00:15,0,55
0:00:15,0,55
0:00:15,0,55
0:00:15,0,55
0:00:15,0,55
0:00:15,0,55
0:00:15,0,55
0:00:15,0,55
0:00:15,0,55
0:00:16,0,55
0:00:16,0,55
0:00:16,0,55
0:00:16,0,55
0:00:16,0,55
0:00:16,0,55
0:00:16,0,55
0:00:16,0,55
0:00:16,0,55
0:00:16,0,55
0:00:16,0,55
0:00:16,0.04873294383,55
0:00:16,0.04873294383,55
0:00:16,0.04873294383,55
0:00:16,0.04873294383,55
0:00:16,0,55
0:00:16,0,55
0:00:16,0,55
0:00:17,0,55
0:00:17,0,55
0:00:17,0,55
0:00:17,0,55
0:00:17,0,55
0:00:17,0,55
0:00:17,0,55
0:00:17,0,55
0:00:17,0,55
0:00:17,0,55
0:00:17,0,55
0:00:17,0,55
0:00:17,0,55
0:00:17,0,55
0:00:17,0,55
0:00:17,0.04873294383,55
0:00:17,0.04873294383,55
0:00:17,0,55
0:00:18,0,55
0:00:18,0,55
0:00:18,0,55
0:00:18,0,55
0:00:18,0,55
0:00:18,0,55
0:00:18,0,55
0:00:18,0,55
0:00:18,0,55
0:00:18,0,55
0:00:18,0,55
0:00:18,0,55
0:00:18,0,55
0:00:18,0,55
0:00:18,0,55
0:00:18,0,55
0:00:18,0,55
0:00:18,0,55
0:00:19,0,55
0:00:19,0,55
0:00:19,0,55
0:00:19,0,55
0:00:19,0,55
0:00:19,0,55
0:00:19,0,55
0:00:19,0,55
0:00:19,0,55
0:00:19,0,55
0:00:19,0,55
0:00:19,0,55
0:00:19,0,55
0:00:19,0,55
0:00:19,0,55
0:00:19,0,55
0:00:19,0,55
0:00:19,0,55
0:00:20,0,55
0:00:20,0,55
0:00:20,0,55
0:00:20,0,55
0:00:20,0,55
0:00:20,0,55
0:00:20,0,55
0:00:20,0,55
0:00:20,0,55
0:00:20,0,55
0:00:20,0,55
0:00:20,0,55
0:00:20,0,55
0:00:20,0,55
0:00:20,0,55
0:00:20,0,55
0:00:20,0,55
0:00:20,0,55
0:00:21,0,55
